"AmberWarningLamp","BatteryLevel","ClassCode","ControllerId","ControllerName","Count","DateTime","DeviceId","DiagnosticCode","DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","DiagnosticUnitOfMeasure","DiagnosticUnitOfMeasureName","DismissDateTime","DismissUserId","EntityStatus","FailureModeCode","FailureModeId","FailureModeName","FaultLampState","FaultState","Geotabld","Latitude","Longitude","MalfunctionLamp","numerictime","numerictime1","OBD2DTC","ProtectWarningLamp","RecordLastChangedUtc","RedStopLamp","Severity","SourceAddress","Speed","StmTime","Temperature","fivemintimeStart","fivemintimeEnd"
FALSE,67.1656847698614,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 00:00:00","b3",1,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1364096810074,39.4776642481515,"MalfunctionLamp",1597881600,1597881600,"OBD2DTC","ProtectWarningLamp","2020-08-20 00:00:00","RedStopLamp","NULL","NULL",36,"2020-08-20 00:00:00",80.5273319361731,1597881600,1597881900
FALSE,2.47682360932231,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 00:30:00","b3",2,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1368114308252,39.4782550806381,"MalfunctionLamp",1597883400,1597883400,"OBD2DTC","ProtectWarningLamp","2020-08-20 00:30:00","RedStopLamp","NULL","NULL",18,"2020-08-20 00:30:00",71.2442513508722,1597883400,1597883700
FALSE,1.85881338547915,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 01:00:00","b3",3,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1407484573394,39.4720633861759,"MalfunctionLamp",1597885200,1597885200,"OBD2DTC","ProtectWarningLamp","2020-08-20 01:00:00","RedStopLamp","NULL","NULL",45,"2020-08-20 01:00:00",69.4156853901222,1597885200,1597885500
FALSE,1.18714955169708,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 01:30:00","b3",4,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1370975295155,39.476245747099,"MalfunctionLamp",1597887000,1597887000,"OBD2DTC","ProtectWarningLamp","2020-08-20 01:30:00","RedStopLamp","NULL","NULL",14,"2020-08-20 01:30:00",68.455411111936,1597887000,1597887300
FALSE,7.79764638282359,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 02:00:00","b3",5,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1392938135955,39.4768914781482,"MalfunctionLamp",1597888800,1597888800,"OBD2DTC","ProtectWarningLamp","2020-08-20 02:00:00","RedStopLamp","NULL","NULL",12,"2020-08-20 02:00:00",70.0077107129619,1597888800,1597889100
FALSE,48.3541814377531,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 02:30:00","b3",6,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1360358899163,39.4738331557517,"MalfunctionLamp",1597890600,1597890600,"OBD2DTC","ProtectWarningLamp","2020-08-20 02:30:00","RedStopLamp","NULL","NULL",60,"2020-08-20 02:30:00",65.3088886290789,1597890600,1597890900
FALSE,32.6698668301105,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 03:00:00","b3",7,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1357213339465,39.4717885905161,"MalfunctionLamp",1597892400,1597892400,"OBD2DTC","ProtectWarningLamp","2020-08-20 03:00:00","RedStopLamp","NULL","NULL",18,"2020-08-20 03:00:00",80.2874956931919,1597892400,1597892700
FALSE,13.8211458688602,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 03:30:00","b3",8,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1378185114995,39.4798126658451,"MalfunctionLamp",1597894200,1597894200,"OBD2DTC","ProtectWarningLamp","2020-08-20 03:30:00","RedStopLamp","NULL","NULL",72,"2020-08-20 03:30:00",79.0040499391034,1597894200,1597894500
FALSE,55.5561654968187,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 04:00:00","b3",9,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1418162929003,39.4731918429468,"MalfunctionLamp",1597896000,1597896000,"OBD2DTC","ProtectWarningLamp","2020-08-20 04:00:00","RedStopLamp","NULL","NULL",54,"2020-08-20 04:00:00",75.0535307219252,1597896000,1597896300
FALSE,18.9323534024879,"ClassCode","ControllerId","ControllerName",1,"2020-08-20 04:30:00","b3",10,"DiagnosticId","DiagnosticName","DiagnosticSourceId","DiagnosticSourceName","UnitOfMeasure","UnitOfMeasureName","NULL","DissmissUserId",1,"NULL","NoFailureModeId","**No Failure Mode","NULL","FaultState","GeotabId",-86.1405912717717,39.4721085478737,"MalfunctionLamp",1597897800,1597897800,"OBD2DTC","ProtectWarningLamp","2020-08-20 04:30:00","RedStopLamp","NULL","NULL",24,"2020-08-20 04:30:00",74.7299300180748,1597897800,1597898100
